"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","CHL","Chile","2012","2012",565.9,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","CHL","Chile","2013","2013",566.4,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","CHL","Chile","2014","2014",573.1,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","CHL","Chile","2015","2015",574.8,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","CHL","Chile","2016","2016",572.5,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","CHL","Chile","2017","2017",577.5,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","CHL","Chile","2018","2018",569.4,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2000","2000",952.7,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2001","2001",934.9,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2002","2002",949.7,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2003","2003",940.6,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2004","2004",913.5,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2005","2005",910.2,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2006","2006",913.5,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2007","2007",928.3,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2008","2008",923.9,,
"CICDALLC","All causes of death","TXCRUDTX","Deaths per 100 000 population (crude rates)","FIN","Finland","2009","2009",934.7,,
